notebook,start,page,title,details
15,10-2019,27,"probabilistic intuition meet evolution-based game learning","Use deepnets are idea players and use them and random agents to drive evolution of adjacent games with and without probabilistic intuition."
15,10-2019,31,"Astrocyte sodoku becomes general metapprox theory?","NA"
15,10-2019,33,"Setting epsilon","NA"
15,10-2019,40,"Invariants and good learning.","Are similarities in deep nets and people driven ONLY by the fact both are good learners and therefore find the same kinds of basic natural Invariants"
15,10-2019,41,"g constrained evolution","NA"
15,10-2019,43,"Open ended game theory - initial definitions","NA"
15,10-2019,47,"Kids explore!?","Dual value seems to do a SHOCKINGLY good job describing how kids explore"
15,10-2019,53,"Janelia notes","NA"
15,10-2019,62,"PAC under G","PAC, but replacing O(n) with an energy use limit"
15,10-2019,63,"Dilemma frame","NA"
15,10-2019,65,"Three views of a spike","This became a blog post that is waiting on Gao to post"
15,10-2019,71,"Janelia aim","NA"
15,10-2019,79,"Janelia figures","NA"
15,10-2019,87,"Why so many kinds of neurons?","The benefits and the costs of neural specialization in learning and in learning flaxibility"
15,10-2019,91,"Janelia notes","NA"
15,10-2019,95,"Why so many kinds of neurons? (cont)","NA"
15,10-2019,99,"Data and Janelia","NA"
15,10-2019,100,"DFORCE - threshold and sign networks","NA"
15,10-2019,103,"Astrocytes are too slow. Are they?","NA"
15,10-2019,105,"Janelia notes","NA"
15,10-2019,110,"Cells2Neurons","More on learnability and specialization"
15,10-2019,114,"Diffo-Axons","NA"
15,10-2019,117,"Meeting: Emily (on Kids Explore!?)","NA"
15,10-2019,124,"Adults and kids as a single metalearner?","An idea made while talking to Emily. I expand on it here."
15,10-2019,128,"Meeting: evo and the BG","Ideas for Matt"
15,10-2019,133,"Exploration and the dilemma","NA"
15,10-2019,137,"Wealth and reward homeostasis","NA"
15,10-2019,140,"Dual value with natural units","Notes and an initial derivation"
15,10-2019,143,"Wisdom (of the crowd), evo game theory, and QD","Beginning to create a continuum between these three views of learning and decision making"
15,10-2019,151,"Reversibility, evolution, and decision","NA"
15,10-2019,154,"E as a differential geometry problem","Ways to fit E into current love of differential viewpoints."
15,10-2019,157,"In defence of Thanos","QD and extinction makes Thano's plan look better than its does otherwise. Not saying much."
15,10-2019,159,"Symbolic VAE","Use VAE z weights to define graphs that look like a kind of abstract symboles. Images that pass though should have similar symbols. This is a simple way to visually study VAE compression?"
15,10-2019,163,"You need to live in flatland to not need a BG?","Use high d physical spaces to approximate cortex in simple life forms. Alife fun."
15,10-2019,165,"Replicators w/ novelty dynamics","NA"
15,10-2019,169,"Dilemma and space size","NA"
15,10-2019,173,"Evolve (mulit-objectively) and challenge","A Marder like scheme for making then re-constraining Alife"
15,10-2019,178,"Open ended game theory - game goals","NA"
15,10-2019,179,"QD evolution, with animal learning.","Join novelty driven evolution with goal driven animal learning to implement a very natural-like kind of QD. Seems elegant and maybe true"
16,1-2020,1,"Step away bandits","How to turn a very small part of a maze into bandit task"
16,1-2020,3,"RL is missing out on deception","RL as a field ignores deceptive reward, as far as I can see. But deception is so common in real life"
16,1-2020,4,"No free lunch is not natural","Some speculation the famous theorem won't hold tight for learning in the natural world, or for niche specific learning"
16,1-2020,7,"NAIsys abstract","NA"
16,1-2020,17,"Neurons, astrocytes, and anything in between","An alife/altlife framework for testing learnability, versus efficiency, versus generalization. This is such a good idea. I'm great."
16,1-2020,21,"Dilemma draft notes","NA"
16,1-2020,23,"Hessians and small nets","NA"
16,1-2020,29,"A recipe for really good small nets?","A fun nice way to join metainit and NEAT"
16,1-2020,31,"Monotone math - an argument against manifolds","I dearly wish I had time to do this. Some faculty day. Dear god someone please hire me!"
16,1-2020,33,"Five reasons for dual value","NA"
16,1-2020,35,"Units for dual value","Unit translation is more like it. Thermo had to get in there somewhere sometime."
16,1-2020,37,"Octoexplore!","NA"
16,1-2020,41,"Sumphi nets","Notes for what became a key part of my Janelia app, that failed"
16,1-2020,47,"Kids explore - fit with dual value","NA"
16,1-2020,49,"Dual value with reward homeostasis","NA"
16,1-2020,51,"Notes: reward homeostasis","Gutkin's work"
16,1-2020,55,"Efficiency and dual value","NA"
16,1-2020,57,"Life is optimized for?","Let's assume the world is proactively evil but stupid, and develop an ecology around that. Alife fun."
16,1-2020,59,"The energy of learning","NA"
16,1-2020,63,"The astrocyte doctrine","NA"
16,1-2020,69,"A paradox for learning and execution","NA"
16,1-2020,71,"Neurons, astrocytes, and anything in between","More on this"
16,1-2020,73,"Separate astrocytes shape waves!?","It's an open question why cortical astrocytes are physically far apart. I think I know why! Wave shaping."
16,1-2020,77,"Recipe for a minimalist art generator","Connecting art to stumbler-strategist, and dumbass heuristics"
16,1-2020,83,"Notes: science of learning grant","NA"
16,1-2020,89,"Hypereplicators (v2)","Nested replicators doing craaaaazy shit, maybe."
16,1-2020,91,"Perfectly optimal oscillation wave shapes","A project for the german doctor, maybe"
16,1-2020,93,"Hypereplicators (v3)","NA"
16,1-2020,95,"Finite bounds for dual value","NA"
16,1-2020,103,"N-value learning","It's vectorized dual value"
16,1-2020,105,"Writing with style, in science","Kurt is smart"
16,1-2020,109,"PARENTKID - a single learning algorithm","AI with Emily?"
16,1-2020,117,"Monotone math","Math evolution, mostly by implementation cost?"
16,1-2020,125,"Mather notes","NA"
16,1-2020,126,"Disinformation, learnability, and game theory","NA"
16,1-2020,129,"Life long learning and M","An argument for dual value from a new long-term angle"
16,1-2020,131,"AI + dual value - a game plan","Future Erik don't mess around and just follow this plan"
16,1-2020,133,"Blinded by reward","The ease of using reward in the lab has blinded us to its little real natural import?"
16,1-2020,135,"Against reasonableness?","NA"
16,1-2020,141,"Drive, predators, and prey","NA"
16,1-2020,145,"Disinformation, learnability, and game theory (2)","NA"
16,1-2020,147,"Notes: information primacy theory","They are so close to scooping me. Shame they didn't do the math."
16,1-2020,149,"Sync and desync games","A game theory for neural oscillations"
16,1-2020,153,"Learnability games","A very short outline, for an entirely new field?"
16,1-2020,155,"Cisek, neural math, and reuse","Evolution of nervous systems is evolution of formal math systems; why would biology care for are formals systems"
16,1-2020,159,"Predator, prey, and food","Away and towards are deep ideas, it seems. Cisek things"
16,1-2020,161,"Determinism, noise, behave, and slope?","A terrible speculation"
16,1-2020,163,"Motifs as mathematical systems","To hell with plato!"
16,1-2020,171,"Binary E, with real I","A stable, tunable, systems with high seperation; thanks huge EM reconstruction paper!"
16,1-2020,175,"Let's pretend kids are curious robots","AFRL and PARKID - a loose pitch"
16,1-2020,183,"Above average E-exploration","What of my proofs survives for a policy improvement approach in place of greedy one"
16,1-2020,189,"Boredom as bitrate","NA"
17,5-2020,1,"Venkat chat","Some notes on a conversation about fractional causes"
17,5-2020,7,"Animal hyperparameters","How do animals tune their own so well? AI should to?"
17,5-2020,8,"PAC and fractional causality",""
17,5-2020,9,"Fractional causality review","Restating the ideas so far..."
17,5-2020,21,"MAML, metainit, and the U curve","Speculations on Kidds curiosity U curve"
17,5-2020,25,"Predictable learning w/ metainit","Can we make safe features?"
17,5-2020,29,"Blum versus Schmidhuber","Compression progress versus very nice summaries"
17,5-2020,33,"Octo might be right?","Curiosity and fear are a very useful combo for agents?"
17,5-2020,35,"Attribution and ANNs",""
17,5-2020,41,"Rmax and pipi","Converting between classic RL and reward homeostasis"
17,5-2020,43,"Consistently useful features",""
17,5-2020,51,"RNNs are stream titration","My example of a stream implemented as an RNN with a potentially infinite recursion"
17,5-2020,54,"Causal methods - short review",""
17,5-2020,56,"Oscillations can...","A short review of all the things I know they can do. Not sure why I wrote this..."
17,5-2020,61,"Kidd, area restricted search, U and E","Kidds U curve and my E, they complete each other in limited spaces?"
17,5-2020,63,"Learnability games","a review of the idea. prepping an introduction section"
17,5-2020,65,"Mass action and precision",".... some nonsense ideas."
17,5-2020,67,"Grooming -> pi_default","Grooming is many animals default policy? Is this true? Is this even interesting? Or important? ....No?"
17,5-2020,69,"The lab feedback loop","Funny is it not how the easiest things to study in the lab have a habit of eventually becoming the most theoretically important"
17,5-2020,73,"Open-ended animals","The intro to an opinion paper arguing animals are really quite indirect"
17,5-2020,82,"Stats and us",""
17,5-2020,83,"Drug design and E-explore","Train an agent to learn about proteins; define reward for drug targets?"
17,5-2020,85,"Parkid, redux","A workable version that was presented to Emily"
17,5-2020,87,"Hyper-replicators, redux",""
17,5-2020,88,"Nonparametric Shenke",""
17,5-2020,91,"Hashes as canonical computation","...aka it's hashes all the way down?"
17,5-2020,95,"Venkat notes",""
17,5-2020,97,"First meeting plan","A script to make first meetings with new students go much better. Smooth and short is good."
17,5-2020,99,"AFRL and space fortress","Notes on what they want out of SF studies, and for the COE as a whole. This was a *useful* meeting"
17,5-2020,105,"Reward homeostasis solves deception?","can Gutkin do it?"
17,5-2020,106,"E-imagination","Can we define imagination in terms a d(M, M)?"
17,5-2020,108,"Metalearning and causality","Are these really the same problem? <- I make some notes on this speculation"
17,5-2020,109,"Space fortress - resource mechanic","A better way to make N player SF more challenging and strategy rich"
17,5-2020,111,"M and space fortress","What to learn? Better games to play? Teams and so on."
17,5-2020,117,"A plan: space fortress and beyond!",""
17,5-2020,120,"HP hyper-replicators","More notes on this idea (which works well in practice)"
17,5-2020,123,"Development and hyper-replicators",""
17,5-2020,125,"Publication plan for hyper-replicators","How to build up to completely self-tuning RL. Lifetime self tuning, that is"
17,5-2020,127,"No reward is additive","Reward kinds must change or need different policies?"
17,5-2020,130,"False dichotomy between explore and exploit?","Wild speculations here"
17,5-2020,143,"Rmax and Rh","Expecting perfect play converts Rh to greedy RL. A nice little insight is I do say so."
17,5-2020,145,"FEVER and DFORCE",""
17,5-2020,149,"The food-water dilemma","A policy should not try and opt for both. Info bias is not about info afterall."
17,5-2020,155,"Parkids!","It works!?"
17,5-2020,157,"Learnability games for AI","How to build these into star craft and the like"
17,5-2020,163,"Shadowoctopus!","How to convert ocotopi into 9 agent RL/policy grads"
17,5-2020,165,"Scent landscape","A task idea for the dilemma paper"
17,5-2020,166,"Open-field space fortress",""
17,5-2020,169,"Stay-switch, E, and learning",""
17,5-2020,171,"Curiosity and fear collaborate","They complement each other, and can happen at the same time in an action"
17,5-2020,175,"The opening line","Blending Kurt's advice with technical writing"
17,5-2020,179,"Determinism, pi, and entropy","What is the max ent deterministic policy? And what does that me about E-explore"
17,5-2020,181,"Predator, prey, and E","Complex learnability games in the natural world of trying to eat, or not be eaten"
17,5-2020,187,"kNN for continuous E","A simple hack to generalize in continuous domains"
17,5-2020,189,"Noise is/as ignorance","Noise in behave is an index of ignorance and other nice speculations on when noise makes sense and when it does not"
18,6-2020,1,"E-explore for the Real","How to do det C fir continuous problems"
18,6-2020,3,"Noise and best learning (redux)",""
18,6-2020,5,"Non-reinforced choice and E",""
18,6-2020,7,"Exploitation foraging","aka noisy exploitation"
18,6-2020,11,"Vigor as a measure","...of policy usefulness"
18,6-2020,13,"Info and nutrients",""
18,6-2020,17,"Vector entropy bridges a gap","between Shannon and Kolmogorov"
18,6-2020,19,"Exp - predictions for info bandits",""
18,6-2020,21,"Noisy exploitation",""
18,6-2020,25,"The assumption-naïveté dilemma","A basic problem in learning that cannot be solved in general?"
18,6-2020,29,"MPC w/ nutrients",""
18,6-2020,35,"Manifold are trivial","...they fall out of any coordinated computations that are distributed?"
18,6-2020,37,"Bee category learning",""
18,6-2020,41,"Exp - deterministic curiosity",""
18,6-2020,47,"Good enough curiosity",""
18,6-2020,51,"Max E, min error, and Kidd U",""
18,6-2020,53,"How to decide","Sto versus det notes (good stuff for the paper)"
18,6-2020,67,"Curiosity and honesty",""
18,6-2020,81,"Cont. deep curiosity","Ideas for implementation (good stuff)"
18,6-2020,83,"What goes into liking effort","Some thoughts based on a paper I read on how strange effort is for us"
18,6-2020,87,"Inventing A hat?","Invent a good mathematical A for A->B then solved that causal problem"
18,6-2020,91,"Tit for tat against the universe",""
18,6-2020,93,"Boredom and consequences",""
18,6-2020,97,"The honesty game and time",""
18,6-2020,98,"Consequences as random matrices",""
18,6-2020,99,"E as first order kinetics",""
18,6-2020,99,"Honesty and disinformation",""
18,6-2020,101,"Benefits of boredom","In the honesty game"
18,6-2020,109,"Why ever mix objectives",""
18,6-2020,111,"Error as a consequence",""
18,6-2020,119,"Recall errors as augments","Building on Krista's idea"
18,6-2020,123,"Riffing w/ Blum",""
18,6-2020,130,"Blum and causality",""
18,6-2020,133,"Honest and trustworthiness","Strange extensions to curiosity"
18,6-2020,153,"Sampling Q and E","Implementation for honesty iterated games"
18,6-2020,155,"The math of boredom",""
18,6-2020,157,"Interventional Causality","Notes on Venkats idea"
18,6-2020,161,"Explore, noisy search, search","More struggles to get some basic ideas"
18,6-2020,163,"Does the cell have an intermediate representation?",""
18,6-2020,171,"Primitives for comp as problems in comp","Ideas for the JC talk to Yttri on 9/24"
18,6-2020,173,"Notes - venkat meeting",""
19,9-2020,1,"Communication and learning: H and E",""
19,9-2020,3,"Project inventory",""
19,9-2020,6,"Cicular causes and fractional causality","Assume circularity, and begin the field again"
19,9-2020,8,"Intro draft: fractional causes",""
19,9-2020,24,"In flux infotaxis","Speculations about what the simplest info taxis is, and what aanimals like bacteria do"
19,9-2020,25,"Entropy and Emax","What is the ceiling on learning value?"
19,9-2020,29,"Notes - space fortress and trust","from a presentation by christian"
19,9-2020,31,"Teaching is always a little adversarial","aka learning and emotional costs of being a little wrong all the time when you learn"
19,9-2020,36,"Info, uncertainty, and steady state","More thoughts on certainly realizable goals in learning"
19,9-2020,37,"Sensor confirmation - noise during exploitation to confirm you are on track","aka assume animals don't have a model of their own sensors errors; how could they after all?"
19,9-2020,40,"Thoughts on David Barack reasoning as infotaxis","....so many words"
19,9-2020,44,"Semi-sorting","Making NP sorting problems easier by making equivalencies faster then N can increase; this is a stupid idea for CS and a very useful one for biology when all you need to is better than the population average"
19,9-2020,47,"Notes - Kidd talk @ CMU",""
19,9-2020,56,"A general notation for WLSL methods of independent policies",""
19,9-2020,60,"Past regularization","A simple explanation for the Kidd U, where in order to learn fast animals trust the past"
19,9-2020,60,"Confidence versus marginal","Kidd talks about curiosity stopping when there is confidence it is right. I wonder here is confidence is asking too much; perhaps it is only detecting marginal returns of E; you might not be right, or sure you are, your just sure your not getting much out of it; condidence and boredom fit a marginal view, equally well; that is, mine is more general; so?"
19,9-2020,61,"Vector animals and information theory","A generalization of Shannon entropy past prob. theory. I imagine vectors as animals and what the most diverse animals would be in a fixed population. The answer is shannon axiomatic; neat connections to alg. info theory too"
19,9-2020,67,"Policy grads can easily become value?","there is a a simple alg to map policy parameters to value estimates, if one needed to reason about value. there is no need to keep both around, in other words"
19,9-2020,69,"Partial sync in nature - redux","This time as a arbitrary partitioning problem"
19,9-2020,72,"The LBC","Indep. policies with fear"
19,9-2020,79,"Multi-agents, coordination, waves, and partial sync",""
19,9-2020,91,"Pipi as a deepnet","implementation notes"
19,9-2020,94,"Entanglement in state-action representations","this could be an advantage, sometimes; rather than leaarn s->a maps, learn s-a merges?"
19,9-2020,95,"Notes - BG parallel",""
19,9-2020,99,"Partial sync in nature - redux","cont. from above, mostly"
19,9-2020,101,"Balance of translation and use","VB OB meet?"
19,9-2020,106,"Notes - potential grants with Brad","Predicting optimal oscillations and testing them online"
19,9-2020,109,"f versus g - learning versus imagination","convergence versus divergence, in other words"
19,9-2020,111,"The idea of fake?","What is fake to creature like us that live in fictions we made?"
19,9-2020,115,"f versus g - more",""
19,9-2020,123,"Separating state learning from the RL problem","Why did we even mix them?"
19,9-2020,123,"Best possible finite worlds","Infinte gods can be perfect but finite worlds cannot be?"
19,9-2020,125,"How to define action?","A problem RL ignores and it should not. See s-a merge notes above."
19,9-2020,129,"Self-tuning learning and HP","more on this; it is time to build something?"
19,9-2020,135,"Parkid derivation - as implemented!",""
19,9-2020,138,"Manifolds and representations","blah blah blah"
19,9-2020,143,"The evil game game","What is the game wants to deprive both players, while the players try to win against each other?"
19,9-2020,146,"Rich/Zollman - rethinking their paper on honest signaling from the point of view of redundancy and info/coding theory",
19,9-2020,149,"Family RL not distribution RL","The number and kind of strategies should be open, and growing. Diversity generating."
19,9-2020,151,"Zollman - more",""
19,9-2020,153,"Notes - meeting w/ David and Emily","Their idea for decisions is lovely and contrarian"
19,9-2020,154,"Notes - meeting w/ Emily about parkid experiments",""
19,9-2020,155,"The stork alg","Adding Kids to multi-agent parkid"
19,9-2020,159,"What is parsimony in complex systems of unique parts","Our intuitions from physics are dead wrong?"
19,9-2020,165,"Zollman - more",""
19,9-2020,165,"E and R - units redux",""
19,9-2020,169,"Can we call something learning when nothing was learned","Peter Latham argues my f in E is under-constrained?"
19,9-2020,171,"Central dogma of learning","Cute title; needs work"
19,9-2020,175,"Disinformation representations","Umm...."
20,1-2021,1,"Notes - Metazoa",""
20,1-2021,8,"More on partial sync","A new view for me; functions as partitions; arbitrary arrangement of sync and not"
20,1-2021,13,"Notes - Metazoa",""
20,1-2021,21,"The simplest action machine?","RL without S; Given a consistent begining how hard it to learn useful actions? How much easier is it to add one pixel of sense? Two?"
20,1-2021,25,"Notes - Levy and Quanta article","The big for me quote: Levy movements arise when the animal really has no clue"
20,1-2021,27,"Ballistic curiosity","When is a straight line, then stopping to learn (or eat, etc) a good idea; when the world is 1d; when you are in desert and patches of info are far far far away; don't levy when the world is empty - leave"
20,1-2021,29,"Ballistic curiosity (cont)","Deterministic search (pathing) makes sense when there is no reason to return; non-stocastic and consumption is final"
20,1-2021,37,"Vector entropy (more)","Misc notes on ortho and max ent"
20,1-2021,41,"Notes - intermittent search strategies (2011)",""
20,1-2021,47,"Notes - levy flights and super diffusion (2008)",""
20,1-2021,54,"Notes - fundemental law of memory recall (2021)","I was in love with this paper, but after seeing the larger lit, and Matt's sims, it is quite a partial result. Nive idea. Incomplete case"
20,1-2021,55,"Notes - how superdiffusion gets arrested (2013)","Need muscle paper. Levy that stops at targets looks like brownian; this paper generated a lot of replies and controversy; ressult not clear"
20,1-2021,57,"Swarms on the manifold?","Neurons hung on a manifold should also optimize for their own variance, like levy movements of fish in a school (eg Inherent noise appears as a Lévy walk in fish schools)"
20,1-2021,61,"Notes - conditions under which superdiffusion is necessary",""
20,1-2021,65,"Notes - adaptive levy walks and foraging fallow dear",""
20,1-2021,69,"Notes - modelling the search behavoir of social monkeys",""
20,1-2021,73,"Notes - the explanaatory force of dynamical and mechanisitic (2011)","Kaplan and Carver - interesting stuff on the limits of dynamics as an account; dynamics can only be a predictive account, in sum"
20,1-2021,83,"Notes - Scale free foraring in primates [...] (2006)","Boyer et al"
20,1-2021,88,"Big theme for explorations class","bias versus noise ... this becane nax ent as a default, ...no one uses"
20,1-2021,90,"Argument for a teaching job","An argument for myself"
20,1-2021,93,"Questions for Barak on his manifold paper",""
20,1-2021,99,"PAC in biology has two levels","1. Evo/devo working on intial values (population level, ala Valiant). 2. Bio learning (individuals); See also https://www.quantamagazine.org/the-hidden-algorithms-underlying-life-20160128/"
20,1-2021,107,"Notes - rationalizing spatial exploration patterns of wild animals","Hyperbolic discouting, and power laws, super related!; this paper has unused legs for the lit; stupid how fields ignore things they don't like"
20,1-2021,115,"Shoebox mathmatics","A failed attempt to make my shoebox power spectrum model into dynamics too"
20,1-2021,117,"Draft - reframe dilemma paper to open with the reward collection problem","use this and move on already?"
20,1-2021,128,"Notes - Macromoltec pitch",""
20,1-2021,130,"The trig of random walk target detection","I fail to work of the angles needed to not have to run steps in explorationlib; turns out to not be needed; fixed eff. another way"
20,1-2021,133,"Explorations - week 1 lab design notes",""
20,1-2021,137,"Explorations - week 2 lab design notes",""
20,1-2021,128,"Notes - Macromoltec pitch","Leadership plans/arguments/thinking - is this place a good fit (no)"
20,1-2021,145,"Notes - venkat chat","first notes on computational credit assignment"
20,1-2021,146,"Explorations - week 3 lecture",""
20,1-2021,156,"TRI grant - notes from Emily",""
20,1-2021,161,"TRI job pitch","Do not use; Use for AF"
20,1-2021,166,"Keck grant - notes frrom Tim","I missed the damn meeting!?"
20,1-2021,170,"TRI grant - phase 2 - notes from Emily",""
20,1-2021,172,"Explorations - week 4 lecture",""
20,1-2021,175,"Explorations - week 4 my notes on Tim's talk","...I finally get his B-S idea"
20,1-2021,185,"Simple comm, learning, forgetting","Avoiding redundancy leads to comm. honesty? - an argument for Zollman"
20,1-2021,187,"Notes - meeting with Zollman","Two really nice ideas... on comm and info val. Great collab?!"
21,3-2021,1,"Explore class - Lab idea",""
21,3-2021,4,"Personality as mental species",""
21,3-2021,5,"Explore class - Lab idea - inverted field",""
21,3-2021,7,"Artifical kids and the prisoners dilemma","parkid and wsls in game theory? just try it?"
21,3-2021,13,"The curiosity company",""
21,3-2021,15,"Voting for changes in boredom","a new scheme to set boredom/eta"
21,3-2021,21,"Explore class - Be best lab",""
21,3-2021,25,"E is not heuristic","...anymore than H is. E completes H?"
21,3-2021,33,"Exploration - search that",""
21,3-2021,35,"Kinds of explore",""
21,3-2021,39,"Niche theory","a meta theory about making theories in learing and biology"
21,3-2021,41,"NFL for 12-exploration","this is the start of what becomes the play work"
21,3-2021,47,"Intial training is OOD?",""
21,3-2021,49,"Venkat notes - Dropout as above avg. opt","We got to riffing on my play-search ideas"
21,3-2021,51,"Note - Badr/disi",""
21,3-2021,59,"Defs - play and search","a first try at the plat theorems"
21,3-2021,65,"Curiosu search for (black) swans","open ended search for extreme extrema - howto?"
21,3-2021,69,"Null control is optimal explore","just don't waste time revisiting past algorithms"
21,3-2021,73,"Optimal explore - a y based def","this is replace with permuations later on..."
21,3-2021,74,"A problem in 12 exploration",""
21,3-2021,78,"Concensus and science","some meta ideas on transient diversity"
21,3-2021,82,"Three quesions for OOD","an ill fated chat with jovo"
21,3-2021,84,"Explore-play to generate diversity?",""
21,3-2021,88,"Diversity and productivity","its all about super-linear scaling of output as diversity increases?"
21,3-2021,91,"The curiosity trick",""
21,3-2021,93,"Notes - leslie and alfredo","kids w/ cameras on their heads"
21,3-2021,98,"Perfect sync with small variations","some ideas to make firefly sing songs w/ diversity; see recent paper - Self-organization in natural swarms of Photinus carolinus synchronous fireflies"
21,3-2021,105,"Defs - curiosity and play",""
21,3-2021,119,"Hyperparameter search w/ levy flights?",""
21,3-2021,123,"A cheating proof of UFA for the 'anything in between' work","very cheat, but should also hold?"
21,3-2021,127,"Play aa a permutation space","the first solid play results; the paper began here"
21,3-2021,149,"Defs - play and search",""
21,3-2021,153,"Curiosity and NFL","...nope"
21,3-2021,155,"Count loss and NFL","Free lunches are easy when the loss has an innate bias?"
21,3-2021,157,"Extreme flashing behave","...as camo by non-learnability? Or is it distraction? Or are these the same?"
21,3-2021,159,"Defs - play and search","Restatement of prev results... but better?"
21,3-2021,161,"Play integrates all possible searches?",""
21,3-2021,167,"Classs idea - cognition in single celled animals, and in plants","this would be so fun"
21,3-2021,171,"Dilemma revisions - ideas for a foraging task",""
21,3-2021,173,"Dilemma revisions - ideas for alternative memory models",""
21,3-2021,177,"If learning is a geometric idea so should info theory be?","animals vector entropy I wish I had the time for you!"
